,zipcode,population,density,land_area,wealthy,dist_to_centre,dist_to_south
0,90001,0.549705463365803,0.3227311690043366,0.014381077962749298,0.062167964639023375,0.1125347426912476,0.11836185579807808
3,90002,0.4930408501135795,0.3310856662620008,0.012567990769737927,0.05789938960218901,0.14102207599793753,0.11743838008141046
6,90003,0.6378354445000578,0.3691978798431729,0.014587110598318772,0.058918122500526214,0.12371028407835526,0.08877029874633474
9,90004,0.5985061409925693,0.4032252070948144,0.01252678424262403,0.12064828457166912,0.07577886256613031,0.13488580101728426
12,90005,0.3626939514110808,0.6900736740562954,0.004409098401186748,0.08248368764470639,0.07111447783664986,0.11398298308717705
15,90006,0.5696781272860278,0.6096873981436212,0.007870446678753914,0.056720690380972424,0.05451247817693583,0.11076009492375924
18,90007,0.39387055788703657,0.3276690839880782,0.010136805670018132,0.05397600505156809,0.049689413498436696,0.10353889945584784
21,90008,0.3111596658067994,0.17421924777038225,0.01508158892368551,0.11112607872026943,0.13632338886168974,0.033427613335425294
24,90010,0.0365764447695684,0.16338890424115465,0.001854293720125268,0.27174068617133235,0.07122190921838632,0.11983544989685835
27,90011,1.0,0.4789846655707359,0.017636393604746992,0.05500315723005683,0.05718035602947071,0.11476611480517288
30,90012,0.2993782004389173,0.1904568307611057,0.013268501730674138,0.0781898547674174,0.007175630503347075,0.17021110947633514
33,90013,0.11330997574404188,0.3475139525272433,0.002719630789517059,0.0825931382866765,0.0,0.15377199132071434
36,90014,0.06742578831863859,0.4948196110303312,0.0011125762320751606,0.11055356766996424,0.004179171223455874,0.14461198789847746
39,90015,0.1827474685250068,0.21960092313394566,0.007005109609362122,0.08733319301199748,0.02323906897405837,0.127086415440072
42,90016,0.4581295961190467,0.2593346970915267,0.01491676281522993,0.10091349189644286,0.13013749033950486,0.05360378296248607
45,90017,0.2287760366534478,0.6439713911181438,0.0029668699522004283,0.08126289202273206,0.017283977353258016,0.1406649326937705
48,90018,0.4746274977861626,0.3363053683611991,0.011908686335915608,0.08207114291728057,0.08887289016976642,0.07724115140583976
51,90019,0.6204327570939052,0.3277359028010499,0.015988132520191194,0.11385392548937065,0.10956736083494813,0.08794012887468193
54,90020,0.3750721903515189,0.6820486023567616,0.004615131036756222,0.11374447484740055,0.07309174316145563,0.12297496196645345
57,90021,0.03802987718014862,0.0377514362957194,0.008488544585462336,0.08833508735003158,0.020415733507758885,0.14891967925846258
60,90023,0.44183382743618377,0.2151421053152652,0.017347947914949726,0.0709071774363292,0.058636668668760425,0.18358788326783504
63,90024,0.4567435413698841,0.31923021219688363,0.012073512444371187,0.22328772889917914,0.2318547903111069,0.11921655579268192
66,90025,0.40568089939552615,0.3243622760233355,0.010548870941157078,0.0,0.24632670139479745,0.10620168470363277
