,zipcode,population,density,land_area,wealthy,dist_to_centre,dist_to_south
0,90014,7005,25017.85714,0.28,13131,0.766959051,8.638208219
1,90079,0,0,0.01,0,1.050184737,8.358013442
2,90071,15,125,0.12,26000,0.643084049,8.907623386
3,90013,11772,17570.14925,0.67,9810,0.577262918,9.103444429
4,90012,31103,9629.411765,3.23,9287,0.902970884,9.938386586
5,90015,18986,11102.92398,1.71,10373,1.632104008,7.748085091
6,90021,3951,1908.695652,2.07,10492,1.503950412,8.856995692
7,90813,58911,18352.33645,3.21,7383,18.64622693,16.34816867
8,90401,6722,7908.235294,0.85,41871,14.6861375,7.544345568
9,90291,28341,11336.4,2.5,28484,13.48814689,5.733751143
10,91321,34882,1347.836167,25.88,16798,25.45336025,27.9996369
11,90003,66266,18666.47887,3.55,6998,6.192577847,5.802011048
12,90017,23768,32558.90411,0.73,9652,1.361797338,8.437737442
13,90670,14866,1757.210402,8.46,17495,12.49829093,17.49925987
14,91505,30778,6106.746032,5.04,27060,9.351381334,13.32661155
15,90814,19131,14171.11111,1.35,25909,20.23505724,19.10785818
16,90732,21115,6138.081395,3.44,25806,22.24189306,16.57986045
17,90057,44998,50559.55056,0.89,6186,2.127149047,8.338685964
18,90026,67869,16044.68085,4.23,14066,2.070049155,10.04058563
19,90029,38617,28394.85294,1.36,10407,3.908436264,9.260588398
20,90007,40920,16566.80162,2.47,6411,2.832707625,6.55210769
21,90004,62180,20386.88525,3.05,14330,4.01692989,8.144215574
22,90011,103892,24217.24942,4.29,6533,3.172727872,7.122337512
23,90006,59185,30825.52083,1.92,6737,3.051630629,6.918871921
24,91103,27480,5117.318436,5.37,18565,9.475199312,18.57181217
25,90254,19506,13640.55944,1.43,48365,15.96178552,7.723068864
26,90278,40071,11130.83333,3.6,33981,14.90485339,7.188540417
27,91340,34188,10114.7929,3.38,11438,19.75345727,22.3959109
28,90018,49310,17003.44828,2.9,9748,4.611278931,5.216446113
29,90016,47596,13111.84573,3.63,11986,6.484314201,4.015905109
30,90008,32327,8808.446866,3.67,13199,6.765097392,2.991158256
31,90037,62276,21928.16901,2.84,6879,4.095086758,5.726858776
32,90062,32821,17005.69948,1.93,9149,5.014117293,4.409699146
33,90043,44789,10844.79419,4.13,13738,6.477592277,2.952577188
34,90232,15149,7179.620853,2.11,30715,8.624245153,3.798966155
35,90723,54099,11559.61538,4.68,11025,11.56670226,13.00833424
36,90245,16654,3050.18315,5.46,39251,13.22312942,4.190993987
37,90056,7827,4953.797468,1.58,29720,8.310209067,1.334628846
38,90005,37681,34889.81481,1.08,9797,3.805209503,7.082562283
39,90033,48852,14939.44954,3.27,7311,1.838309474,10.82806996
40,90031,39316,11395.94203,3.45,10087,2.701800171,12.04563381
41,90032,45786,9598.742138,4.77,12100,4.281304142,13.60477183
42,90023,45903,10877.48815,4.22,8422,3.238831141,10.6177924
43,90063,55758,17051.37615,3.27,8558,3.391178921,11.96265098
44,91030,25616,7512.02346,3.41,29434,6.368492908,15.74437325
45,90042,62430,13454.74138,4.64,13644,5.510726372,14.72095264
46,90220,49328,7138.639653,6.91,10364,11.85688824,10.10161237
47,90058,3223,554.7332186,5.81,12298,3.367928784,8.998569866
48,90744,53815,6452.63789,8.34,10919,18.40225652,14.18762568
49,90731,59662,6492.056583,9.19,15768,22.64493233,18.09447066
50,90710,25457,10786.86441,2.36,16908,17.93473584,12.82122076
51,90248,9947,2120.895522,4.69,21835,13.16511442,8.551862576
52,90501,43180,7683.274021,5.62,18730,15.93928041,10.25751392
53,90502,18010,8076.233184,2.23,19947,15.33788974,10.59017283
54,90717,21318,10766.66667,1.98,19912,18.2562386,12.46406836
55,90804,40311,19104.73934,2.11,13119,19.47137722,18.33225477
56,90266,35135,8917.51269,3.94,0,14.25038828,5.652230195
57,90831,0,0,0.04,0,19.70350677,17.05613201
58,90745,57251,6897.710843,8.3,16970,15.80879756,12.11334686
59,90230,31766,7043.45898,4.51,24086,9.783557002,2.135663357
60,90028,28714,18890.78947,1.52,13206,5.791957224,9.445480458
61,90038,28917,18418.47134,1.57,11415,5.658899884,8.576647477
62,90046,48581,8405.017301,5.78,28496,8.12093386,9.978922698
63,90069,20483,9707.582938,2.11,56031,8.222125119,8.478252588
64,90068,22286,2924.671916,7.62,34239,6.919942558,10.88265245
65,91608,0,0,0.6,0,8.117755931,11.09971384
66,91602,17473,8523.414634,2.05,31764,9.450806474,12.32704305
67,90304,28210,17968.15287,1.57,9418,10.31265091,2.294673133
68,90027,45151,5466.22276,8.26,21759,5.599018009,11.4383919
69,90045,39480,3679.403541,10.73,27516,10.78558836,1.499458229
70,90019,64458,16570.17995,3.89,13523,5.550618541,5.759846753
71,90036,36865,14925.10121,2.47,28998,6.292950197,6.754693739
72,90035,28418,13795.14563,2.06,24914,8.060911185,5.582108802
73,90048,21397,11321.16402,1.89,35213,7.541682061,7.165225078
74,90020,38967,34484.0708,1.13,13510,3.894959256,7.539264532
75,90034,57964,18637.94212,3.11,21465,8.837296431,4.470527109
76,90211,8434,12048.57143,0.7,55862,8.116051748,6.635651242
77,90010,3800,8260.869565,0.46,32276,3.810085905,7.379808839
78,90402,12250,6125,2,70235,15.14355606,8.845376998
79,90049,35482,2362.316911,15.02,59861,14.90351011,11.23450758
80,90025,42147,16399.61089,2.57,0,11.75824123,6.687350447
81,90024,47452,16140.13605,2.94,26521,11.10134889,7.348375232
82,90210,21741,2146.199408,10.13,72990,10.1855662,9.388941186
83,90064,25403,6350.75,4,43519,10.28221372,5.467926681
84,90077,9377,1279.263302,7.33,66455,12.70759292,10.23005655
85,90067,2424,7345.454545,0.33,26000,9.825370783,6.433411504
86,91403,23484,6469.421488,3.63,44074,13.7295395,12.79111442
87,90404,21360,10733.66834,1.99,35321,13.18846116,6.912819993
88,90212,11555,12036.45833,0.96,118775,9.088744505,6.504055426
89,90272,22986,1006.833114,22.83,76175,17.41340856,12.57415983
90,91423,30991,7108.027523,4.36,32853,12.75481827,12.74363768
91,91331,103689,11716.27119,8.85,10062,17.62962478,20.01068094
92,91604,29034,5637.669903,5.15,36700,10.62695863,11.55815254
93,91405,51145,15451.66163,3.31,10672,16.08682841,16.78644622
94,91411,24628,12072.54902,2.04,13656,15.21444057,15.27905841
95,91401,39285,11386.95652,3.45,15943,13.96764196,14.79025836
96,91402,69817,18717.69437,3.73,9685,16.49856016,18.01472814
97,91607,27927,11445.4918,2.44,21903,11.91531036,13.65914371
98,91335,74363,11335.82317,6.56,13568,19.87796177,18.6555062
99,91356,29458,4018.826739,7.33,27849,18.96788799,16.69075241
100,91406,51558,6341.697417,8.13,14916,17.7280098,17.26950376
101,91316,26898,5368.862275,5.01,30374,17.21953211,15.29962649
102,91306,45061,10884.29952,4.14,15529,21.65757111,19.82543071
103,91364,25851,3405.928854,7.59,39841,21.14903703,17.80150619
104,91436,14372,2521.403509,5.7,102349,15.88373922,14.36915105
105,91325,32417,6725.518672,4.82,18668,20.2575922,20.29267598
106,91343,60254,10195.26227,5.91,13439,18.69258209,19.4867563
107,91324,27669,6302.733485,4.39,18043,21.89440479,21.25779489
108,90066,55277,11235.1626,4.92,23714,11.38700053,4.189278361
109,90094,5464,8957.377049,0.61,42405,11.33843838,2.52946365
110,90041,27425,7596.952909,3.61,19733,5.811318394,14.54080833
111,90065,45527,8622.537879,5.28,16473,4.071501264,12.88361806
112,90039,28514,7563.395225,3.77,22654,4.094201668,11.71413773
113,91205,37810,20005.29101,1.89,12094,5.620376112,13.42769935
114,91206,33065,5623.29932,5.88,19870,7.164558091,15.65040143
115,91204,16032,14314.28571,1.12,12546,5.982419267,13.23256154
116,91201,22781,9652.966102,2.36,16197,8.152443279,14.06588254
117,91105,11254,3049.864499,3.69,47317,7.483801629,16.66829697
118,90293,12132,4241.958042,2.86,39471,13.52942891,4.316841696
119,90001,57110,16317.14286,3.5,7384,5.685310526,7.304965054
120,90305,14853,6402.155172,2.32,18662,8.033030306,2.704964485
121,90047,48606,10276.10994,4.73,12352,7.843303176,3.984466523
122,90044,89779,17466.73152,5.14,7774,7.742106756,4.868984132
123,90302,29415,15563.49206,1.89,13030,8.218264393,1.293371104
124,90002,51223,16739.54248,3.06,6877,6.978374794,7.258061759
125,90255,75066,20179.03226,3.72,9434,5.407767855,8.655927276
126,90805,93524,12689.82361,7.37,11601,13.5290528,13.49685054
127,90292,21576,10576.47059,2.04,40849,13.54843143,4.7780074
128,90405,27186,10258.86792,2.65,39765,13.08696138,5.940298099
129,90810,36735,5482.835821,6.7,13571,16.64193678,13.95612547
130,91601,37180,14030.18868,2.65,15592,10.42700457,13.49982574
131,91606,44958,13500.9009,3.33,12126,12.53642324,14.99815283
132,91605,56343,10319.23077,5.46,10737,13.94942123,16.4648314
133,91352,47807,4096.572408,11.67,12355,13.74599729,17.96150482
134,91342,91725,1664.700544,55.1,14087,18.68863048,22.89649694
135,91040,20372,2484.390244,8.2,21744,16.59644353,22.09041916
136,91214,30356,4020.662252,7.55,24465,12.88098986,20.16478684
137,91504,24939,5048.380567,4.94,22251,11.62339291,16.41488
138,91344,51747,3153.382084,16.41,21296,21.4314965,22.51853913
139,91345,18496,5708.641975,3.24,15423,19.09770982,20.87048256
140,91311,36557,1139.557357,32.08,24641,26.0692386,24.90905291
141,91326,33708,4130.882353,8.16,27276,24.50549967,24.50823793
142,90059,40952,12372.20544,3.31,7581,8.512335855,7.845207393
143,90061,26872,10102.25564,2.66,8890,9.293701404,6.762618093
144,90247,47487,12663.2,3.75,13772,11.78835255,7.400848977
145,93536,70918,292.2164078,242.69,17104,45.96811276,52.08333134
146,90241,42399,8600.20284,4.93,15722,10.27184479,14.20832671
147,91502,11371,8549.62406,1.33,15731,9.376210815,14.76057451
148,90403,24525,17150.34965,1.43,40715,14.52546674,8.013562221
149,91303,26855,12432.87037,2.16,12117,22.65213147,20.31083467
150,91367,39499,5309.005376,7.44,26081,22.06205597,19.23981884
151,91304,50231,5338.044633,9.41,17813,26.44213588,23.85557448
152,91307,24474,3040.248447,8.05,26683,27.58989298,24.42100296
153,91302,25709,962.8838951,26.7,51537,25.86889897,20.98656721
154,90201,101279,17050.3367,5.94,8479,7.039320008,11.33807964
155,90715,20388,11992.94118,1.7,16939,17.36196528,19.17089999
156,93551,50798,694.5310364,73.14,21572,37.51707636,44.38162105
157,90603,20063,6135.474006,3.27,22715,16.19241232,21.94786289
158,91501,20849,5251.63728,3.97,20250,10.83847527,16.75543249
159,90303,26176,11790.99099,2.22,10634,9.477842698,3.39895333
160,91767,48068,8553.024911,5.62,12036,28.78905826,37.03620462
161,91203,13220,16121.95122,0.82,16606,7.02753358,14.16533221
